,Date,Payee,Memo,Outflow,Inflow
0,05/03/2022,RIVERFRONT MARKET,,45.42,
2,05/03/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
4,05/04/2022,A MEDIUM CORPORATION,,5.0,
6,05/05/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
8,05/05/2022,SQ *THAI CHAMPA,,17.0,
10,05/05/2022,TST* VOODOO DOUGHNUT - DA,,4.25,
12,05/05/2022,MULTNOMAH FALLS,,52.96,
14,05/05/2022,MULTNOMAH FALLS LODGE RES,,26.0,
16,05/05/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
18,05/07/2022,APPLE.COM/BILL,,0.99,
20,05/07/2022,SQ *WHITE SALMON BAKING C,,14.41,
22,05/07/2022,HARVEST MARKET - WHITE S,,12.68,
24,05/08/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
26,05/08/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
28,05/12/2022,PADDLE.NET* DIOCO,,4.95,
30,05/13/2022,APPLE.COM/BILL,,16.41,
32,05/13/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
34,05/14/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
36,05/14/2022,APPLE.COM/BILL,,9.99,
38,05/14/2022,SQ *B'S SWEETS,,6.0,
40,05/14/2022,SQ *MOUNTAIN VIEW FAMILY,,5.0,
42,05/14/2022,SQ *CASCADIA CREAMERY,,18.65,
44,05/16/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
46,05/16/2022,WAL-MART #1876,,16.94,
48,05/16/2022,SQ *THE GORGE WHITE HOUSE,,4.0,
50,05/21/2022,APPLE.COM/BILL,,10.96,
52,05/21/2022,PORT OF HOOD RIVER-BRIDGE,,2.0,
54,05/21/2022,RIVERFRONT MARKET,,59.1,
56,05/22/2022,SQ *TEMPLE PASTRIES,,20.72,
58,05/23/2022,MAVERIK #612,,51.19,
60,05/27/2022,TACO BELL 025394,,10.75,
62,05/27/2022,KFC/AW #532,,4.84,
64,05/27/2022,AMC+ MONTHLY,,9.84,
66,05/27/2022,STOP N SAVE 3,,46.88,
68,05/27/2022,24-7 TRAVEL STORE,,56.04,
70,05/27/2022,KROGER FUEL #533 3275 IRV,,45.31,
72,05/30/2022,LAS FAJITAS DICKSON MEXIC,,26.83,
74,05/31/2022,PILOT_00409,,49.24,
